invoice_id,msme_company,buyer_name,buyer_sector,invoice_date,due_date,paid_date,invoice_amount,payment_delay_days,is_paid,monthly_fixed_cost,cash_reserves,avg_monthly_revenue,buyer_risk_level,post_legal_notice
INV-2024-00001,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-05-05,2024-06-04,2024-08-15,164868,72,1,326225,2155144,1076778,high,0
INV-2024-00002,Ayesha Plastics,National Packaging House,Packaging,2024-12-12,2025-01-11,2025-02-25,81658,45,1,326225,2155144,1076778,low,1
INV-2024-00003,Ayesha Plastics,Bright Foods Trading Co,FMCG,2024-10-29,2024-11-28,2024-12-24,56487,26,1,326225,2155144,1076778,low,1
INV-2024-00004,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-04-21,2024-05-21,2024-08-17,208168,88,1,326225,2155144,1076778,high,0
INV-2024-00005,Ayesha Plastics,Metro Infra Suppliers,Infrastructure,2024-10-14,2024-11-13,2025-01-25,151526,73,1,326225,2155144,1076778,high,1
INV-2024-00006,Ayesha Plastics,Bright Foods Trading Co,FMCG,2024-10-06,2024-11-05,2024-11-29,53048,24,1,326225,2155144,1076778,low,1
INV-2024-00007,Ayesha Plastics,National Packaging House,Packaging,2024-05-22,2024-06-21,,74355,180,0,326225,2155144,1076778,low,0
INV-2024-00008,Ayesha Plastics,Zenith Pharma Supplies,Pharma,2024-03-22,2024-04-21,2024-05-22,51877,31,1,326225,2155144,1076778,medium,0
INV-2024-00009,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-03-20,2024-04-19,2024-07-08,104486,80,1,326225,2155144,1076778,high,0
INV-2024-00010,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-02-22,2024-03-23,2024-05-11,108679,49,1,326225,2155144,1076778,high,0
INV-2024-00011,Ayesha Plastics,Zenith Pharma Supplies,Pharma,2024-06-25,2024-07-25,2024-08-29,131641,35,1,326225,2155144,1076778,medium,0
INV-2024-00012,Ayesha Plastics,Bright Foods Trading Co,FMCG,2024-08-23,2024-09-22,2024-10-08,61012,16,1,326225,2155144,1076778,low,0
INV-2024-00013,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-07-12,2024-08-11,2024-10-26,123224,76,1,326225,2155144,1076778,high,0
INV-2024-00014,Ayesha Plastics,Kaveri Engineering Works,Engineering,2024-11-17,2024-12-17,2025-02-15,84715,60,1,326225,2155144,1076778,medium,1
INV-2024-00015,Ayesha Plastics,Metro Infra Suppliers,Infrastructure,2024-10-22,2024-11-21,,144968,180,0,326225,2155144,1076778,high,1
INV-2024-00016,Ayesha Plastics,Metro Infra Suppliers,Infrastructure,2024-12-04,2025-01-03,2025-04-05,144914,92,1,326225,2155144,1076778,high,1
INV-2024-00017,Ayesha Plastics,National Packaging House,Packaging,2024-02-10,2024-03-11,2024-04-02,69757,22,1,326225,2155144,1076778,low,0
INV-2024-00018,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-07-13,2024-08-12,2024-10-04,177901,53,1,326225,2155144,1076778,high,0
INV-2024-00019,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-07-05,2024-08-04,2024-09-12,153354,39,1,326225,2155144,1076778,high,0
INV-2024-00020,Ayesha Plastics,Metro Infra Suppliers,Infrastructure,2024-12-09,2025-01-08,2025-03-16,108590,67,1,326225,2155144,1076778,high,1
INV-2024-00021,Ayesha Plastics,Shree Retail Distributors,Retail,2024-11-27,2024-12-27,2025-02-08,94769,43,1,326225,2155144,1076778,medium,1
INV-2024-00022,Ayesha Plastics,Kaveri Engineering Works,Engineering,2024-09-30,2024-10-30,2024-12-19,120952,50,1,326225,2155144,1076778,medium,1
INV-2024-00023,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-07-13,2024-08-12,2024-10-13,85859,62,1,326225,2155144,1076778,high,0
INV-2024-00024,Ayesha Plastics,Zenith Pharma Supplies,Pharma,2024-12-18,2025-01-17,2025-03-08,83484,50,1,326225,2155144,1076778,medium,1
INV-2024-00025,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-01-29,2024-02-28,,158744,180,0,326225,2155144,1076778,high,0
INV-2024-00026,Ayesha Plastics,Metro Infra Suppliers,Infrastructure,2024-06-10,2024-07-10,,191204,180,0,326225,2155144,1076778,high,0
INV-2024-00027,Ayesha Plastics,Urban Build Projects Ltd,Construction,2024-10-17,2024-11-16,2025-01-22,129538,67,1,326225,2155144,1076778,high,1
INV-2024-00028,Ayesha Plastics,Zenith Pharma Supplies,Pharma,2024-12-01,2024-12-31,2025-02-18,120774,49,1,326225,2155144,1076778,medium,1
INV-2024-00029,Ayesha Plastics,Bright Foods Trading Co,FMCG,2024-11-25,2024-12-25,2025-01-19,47411,25,1,326225,2155144,1076778,low,1
INV-2024-00030,Ayesha Plastics,Kaveri Engineering Works,Engineering,2024-05-06,2024-06-05,2024-08-12,136594,68,1,326225,2155144,1076778,medium,0
INV-2024-00031,Ayesha Plastics,Bright Foods Trading Co,FMCG,2024-10-26,2024-11-25,2024-12-21,52812,26,1,326225,2155144,1076778,low,1
INV-2024-00032,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-07-04,2024-08-03,2024-09-25,100746,53,1,326225,2155144,1076778,high,0
INV-2024-00033,Ayesha Plastics,Zenith Pharma Supplies,Pharma,2024-09-17,2024-10-17,2024-12-10,115313,54,1,326225,2155144,1076778,medium,1
INV-2024-00034,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-02-26,2024-03-27,2024-06-28,142119,93,1,326225,2155144,1076778,high,0
INV-2024-00035,Ayesha Plastics,Bright Foods Trading Co,FMCG,2024-12-14,2025-01-13,2025-02-04,65424,22,1,326225,2155144,1076778,low,1
INV-2024-00036,Ayesha Plastics,Bright Foods Trading Co,FMCG,2024-07-14,2024-08-13,2024-09-22,65420,40,1,326225,2155144,1076778,low,0
INV-2024-00037,Ayesha Plastics,Urban Build Projects Ltd,Construction,2024-05-08,2024-06-07,2024-08-29,158387,83,1,326225,2155144,1076778,high,0
INV-2024-00038,Ayesha Plastics,Zenith Pharma Supplies,Pharma,2024-01-06,2024-02-05,2024-03-23,29506,47,1,326225,2155144,1076778,medium,0
INV-2024-00039,Ayesha Plastics,National Packaging House,Packaging,2024-10-01,2024-10-31,2024-11-29,71566,29,1,326225,2155144,1076778,low,1
INV-2024-00040,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-06-23,2024-07-23,2024-08-31,148670,39,1,326225,2155144,1076778,high,0
INV-2024-00041,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-08-20,2024-09-19,2024-12-09,136213,81,1,326225,2155144,1076778,high,0
INV-2024-00042,Ayesha Plastics,Urban Build Projects Ltd,Construction,2024-05-14,2024-06-13,2024-08-01,226505,49,1,326225,2155144,1076778,high,0
INV-2024-00043,Ayesha Plastics,Urban Build Projects Ltd,Construction,2024-09-16,2024-10-16,2024-12-04,123617,49,1,326225,2155144,1076778,high,1
INV-2024-00044,Ayesha Plastics,National Packaging House,Packaging,2024-06-01,2024-07-01,2024-08-04,86477,34,1,326225,2155144,1076778,low,0
INV-2024-00045,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-04-11,2024-05-11,2024-08-03,123809,84,1,326225,2155144,1076778,high,0
INV-2024-00046,Ayesha Plastics,Urban Build Projects Ltd,Construction,2024-10-03,2024-11-02,2025-01-14,164368,73,1,326225,2155144,1076778,high,1
INV-2024-00047,Ayesha Plastics,Bright Foods Trading Co,FMCG,2024-01-01,2024-01-31,2024-02-25,49469,25,1,326225,2155144,1076778,low,0
INV-2024-00048,Ayesha Plastics,Urban Build Projects Ltd,Construction,2024-02-27,2024-03-28,2024-05-01,142355,34,1,326225,2155144,1076778,high,0
INV-2024-00049,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-06-06,2024-07-06,2024-09-23,156844,79,1,326225,2155144,1076778,high,0
INV-2024-00050,Ayesha Plastics,Urban Build Projects Ltd,Construction,2024-10-17,2024-11-16,2025-01-09,160230,54,1,326225,2155144,1076778,high,1
INV-2024-00051,Ayesha Plastics,National Packaging House,Packaging,2024-09-05,2024-10-05,2024-11-02,44523,28,1,326225,2155144,1076778,low,1
INV-2024-00052,Ayesha Plastics,National Packaging House,Packaging,2024-09-29,2024-10-29,2024-11-22,63831,24,1,326225,2155144,1076778,low,1
INV-2024-00053,Ayesha Plastics,Urban Build Projects Ltd,Construction,2024-08-31,2024-09-30,2024-12-03,152742,64,1,326225,2155144,1076778,high,0
INV-2024-00054,Ayesha Plastics,Urban Build Projects Ltd,Construction,2024-09-27,2024-10-27,2024-12-26,244878,60,1,326225,2155144,1076778,high,1
INV-2024-00055,Ayesha Plastics,Urban Build Projects Ltd,Construction,2024-04-18,2024-05-18,2024-07-13,171589,56,1,326225,2155144,1076778,high,0
INV-2024-00056,Ayesha Plastics,Metro Infra Suppliers,Infrastructure,2024-12-19,2025-01-18,2025-03-23,79061,64,1,326225,2155144,1076778,high,1
INV-2024-00057,Ayesha Plastics,Kaveri Engineering Works,Engineering,2024-12-09,2025-01-08,2025-04-07,127108,89,1,326225,2155144,1076778,medium,1
INV-2024-00058,Ayesha Plastics,Bright Foods Trading Co,FMCG,2024-09-21,2024-10-21,2024-11-20,57114,30,1,326225,2155144,1076778,low,1
INV-2024-00059,Ayesha Plastics,Shree Retail Distributors,Retail,2024-02-02,2024-03-03,2024-04-02,79305,30,1,326225,2155144,1076778,medium,0
INV-2024-00060,Ayesha Plastics,Bright Foods Trading Co,FMCG,2024-04-27,2024-05-27,,77142,180,0,326225,2155144,1076778,low,0
INV-2024-00061,Ayesha Plastics,Kaveri Engineering Works,Engineering,2024-12-28,2025-01-27,2025-03-10,152686,42,1,326225,2155144,1076778,medium,1
INV-2024-00062,Ayesha Plastics,National Packaging House,Packaging,2024-01-17,2024-02-16,2024-03-06,95250,19,1,326225,2155144,1076778,low,0
INV-2024-00063,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-05-01,2024-05-31,2024-09-22,168474,114,1,326225,2155144,1076778,high,0
INV-2024-00064,Ayesha Plastics,Shree Retail Distributors,Retail,2024-10-03,2024-11-02,2024-12-08,60189,36,1,326225,2155144,1076778,medium,1
INV-2024-00065,Ayesha Plastics,Zenith Pharma Supplies,Pharma,2024-10-19,2024-11-18,2024-12-19,97491,31,1,326225,2155144,1076778,medium,1
INV-2024-00066,Ayesha Plastics,National Packaging House,Packaging,2024-08-30,2024-09-29,2024-10-31,42088,32,1,326225,2155144,1076778,low,0
INV-2024-00067,Ayesha Plastics,Zenith Pharma Supplies,Pharma,2024-02-19,2024-03-20,2024-05-02,68442,43,1,326225,2155144,1076778,medium,0
INV-2024-00068,Ayesha Plastics,Metro Infra Suppliers,Infrastructure,2024-07-29,2024-08-28,2024-11-24,129028,88,1,326225,2155144,1076778,high,0
INV-2024-00069,Ayesha Plastics,Kaveri Engineering Works,Engineering,2024-12-10,2025-01-09,2025-02-28,97586,50,1,326225,2155144,1076778,medium,1
INV-2024-00070,Ayesha Plastics,Metro Infra Suppliers,Infrastructure,2024-02-01,2024-03-02,2024-04-17,215675,46,1,326225,2155144,1076778,high,0
INV-2024-00071,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-02-25,2024-03-26,2024-07-02,154098,98,1,326225,2155144,1076778,high,0
INV-2024-00072,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-08-17,2024-09-16,2024-12-03,80700,78,1,326225,2155144,1076778,high,0
INV-2024-00073,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-08-24,2024-09-23,2024-12-21,155395,89,1,326225,2155144,1076778,high,0
INV-2024-00074,Ayesha Plastics,National Packaging House,Packaging,2024-08-14,2024-09-13,2024-10-03,47734,20,1,326225,2155144,1076778,low,0
INV-2024-00075,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-02-20,2024-03-21,2024-06-09,165877,80,1,326225,2155144,1076778,high,0
INV-2024-00076,Ayesha Plastics,Urban Build Projects Ltd,Construction,2024-01-08,2024-02-07,2024-04-10,171272,63,1,326225,2155144,1076778,high,0
INV-2024-00077,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-05-01,2024-05-31,2024-08-18,117799,79,1,326225,2155144,1076778,high,0
INV-2024-00078,Ayesha Plastics,National Packaging House,Packaging,2024-04-19,2024-05-19,2024-06-13,75275,25,1,326225,2155144,1076778,low,0
INV-2024-00079,Ayesha Plastics,Shree Retail Distributors,Retail,2024-03-25,2024-04-24,2024-06-09,117315,46,1,326225,2155144,1076778,medium,0
INV-2024-00080,Ayesha Plastics,Urban Build Projects Ltd,Construction,2024-05-15,2024-06-14,2024-08-21,106391,68,1,326225,2155144,1076778,high,0
INV-2024-00081,Ayesha Plastics,Metro Infra Suppliers,Infrastructure,2024-05-26,2024-06-25,2024-09-09,126265,76,1,326225,2155144,1076778,high,0
INV-2024-00082,Ayesha Plastics,Kaveri Engineering Works,Engineering,2024-10-11,2024-11-10,2024-12-23,165550,43,1,326225,2155144,1076778,medium,1
INV-2024-00083,Ayesha Plastics,Shree Retail Distributors,Retail,2024-04-07,2024-05-07,2024-06-22,99267,46,1,326225,2155144,1076778,medium,0
INV-2024-00084,Ayesha Plastics,National Packaging House,Packaging,2024-10-23,2024-11-22,2025-01-10,84797,49,1,326225,2155144,1076778,low,1
INV-2024-00085,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-06-09,2024-07-09,2024-09-08,135184,61,1,326225,2155144,1076778,high,0
INV-2024-00086,Ayesha Plastics,Urban Build Projects Ltd,Construction,2024-09-14,2024-10-14,2024-11-27,119971,44,1,326225,2155144,1076778,high,1
INV-2024-00087,Ayesha Plastics,Urban Build Projects Ltd,Construction,2024-01-30,2024-02-29,2024-05-02,156530,63,1,326225,2155144,1076778,high,0
INV-2024-00088,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-04-05,2024-05-05,,156067,180,0,326225,2155144,1076778,high,0
INV-2024-00089,Ayesha Plastics,Metro Infra Suppliers,Infrastructure,2024-04-30,2024-05-30,2024-08-24,175650,86,1,326225,2155144,1076778,high,0
INV-2024-00090,Ayesha Plastics,Metro Infra Suppliers,Infrastructure,2024-10-18,2024-11-17,2025-03-02,161767,105,1,326225,2155144,1076778,high,1
INV-2024-00091,Ayesha Plastics,Shree Retail Distributors,Retail,2024-11-13,2024-12-13,2025-01-15,92513,33,1,326225,2155144,1076778,medium,1
INV-2024-00092,Ayesha Plastics,Zenith Pharma Supplies,Pharma,2024-10-16,2024-11-15,2024-12-28,68227,43,1,326225,2155144,1076778,medium,1
INV-2024-00093,Ayesha Plastics,Zenith Pharma Supplies,Pharma,2024-04-14,2024-05-14,2024-06-29,89413,46,1,326225,2155144,1076778,medium,0
INV-2024-00094,Ayesha Plastics,Metro Infra Suppliers,Infrastructure,2024-05-15,2024-06-14,2024-08-16,198661,63,1,326225,2155144,1076778,high,0
INV-2024-00095,Ayesha Plastics,Metro Infra Suppliers,Infrastructure,2024-06-02,2024-07-02,2024-08-13,132660,42,1,326225,2155144,1076778,high,0
INV-2024-00096,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-02-07,2024-03-08,2024-06-06,127139,90,1,326225,2155144,1076778,high,0
INV-2024-00097,Ayesha Plastics,Urban Build Projects Ltd,Construction,2024-10-15,2024-11-14,2024-12-22,169634,38,1,326225,2155144,1076778,high,1
INV-2024-00098,Ayesha Plastics,Bright Foods Trading Co,FMCG,2024-04-19,2024-05-19,2024-06-19,62597,31,1,326225,2155144,1076778,low,0
INV-2024-00099,Ayesha Plastics,National Packaging House,Packaging,2024-06-27,2024-07-27,2024-08-29,54090,33,1,326225,2155144,1076778,low,0
INV-2024-00100,Ayesha Plastics,Shree Retail Distributors,Retail,2024-07-08,2024-08-07,2024-09-06,81164,30,1,326225,2155144,1076778,medium,0
INV-2024-00101,Ayesha Plastics,Kaveri Engineering Works,Engineering,2024-10-05,2024-11-04,2025-01-05,137522,62,1,326225,2155144,1076778,medium,1
INV-2024-00102,Ayesha Plastics,Zenith Pharma Supplies,Pharma,2024-11-30,2024-12-30,2025-02-18,122076,50,1,326225,2155144,1076778,medium,1
INV-2024-00103,Ayesha Plastics,Metro Infra Suppliers,Infrastructure,2024-10-10,2024-11-09,2024-12-29,106116,50,1,326225,2155144,1076778,high,1
INV-2024-00104,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-03-09,2024-04-08,2024-07-01,165601,84,1,326225,2155144,1076778,high,0
INV-2024-00105,Ayesha Plastics,Shree Retail Distributors,Retail,2024-10-10,2024-11-09,2025-01-28,90300,80,1,326225,2155144,1076778,medium,1
INV-2024-00106,Ayesha Plastics,Kaveri Engineering Works,Engineering,2024-04-17,2024-05-17,2024-07-26,144981,70,1,326225,2155144,1076778,medium,0
INV-2024-00107,Ayesha Plastics,National Packaging House,Packaging,2024-11-20,2024-12-20,2025-01-26,87172,37,1,326225,2155144,1076778,low,1
INV-2024-00108,Ayesha Plastics,Urban Build Projects Ltd,Construction,2024-05-08,2024-06-07,2024-08-16,145812,70,1,326225,2155144,1076778,high,0
INV-2024-00109,Ayesha Plastics,Zenith Pharma Supplies,Pharma,2024-02-17,2024-03-18,2024-04-22,75679,35,1,326225,2155144,1076778,medium,0
INV-2024-00110,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-01-23,2024-02-22,2024-05-08,125585,76,1,326225,2155144,1076778,high,0
INV-2024-00111,Ayesha Plastics,Urban Build Projects Ltd,Construction,2024-11-22,2024-12-22,2025-01-19,264159,28,1,326225,2155144,1076778,high,1
INV-2024-00112,Ayesha Plastics,Bright Foods Trading Co,FMCG,2024-08-14,2024-09-13,2024-09-28,70293,15,1,326225,2155144,1076778,low,0
INV-2024-00113,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-01-05,2024-02-04,2024-05-08,126122,94,1,326225,2155144,1076778,high,0
INV-2024-00114,Ayesha Plastics,Urban Build Projects Ltd,Construction,2024-12-19,2025-01-18,2025-02-27,162892,40,1,326225,2155144,1076778,high,1
INV-2024-00115,Ayesha Plastics,Bright Foods Trading Co,FMCG,2024-07-08,2024-08-07,2024-09-09,49270,33,1,326225,2155144,1076778,low,0
INV-2024-00116,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-03-06,2024-04-05,2024-06-22,115785,78,1,326225,2155144,1076778,high,0
INV-2024-00117,Ayesha Plastics,National Packaging House,Packaging,2024-01-21,2024-02-20,2024-03-17,70820,26,1,326225,2155144,1076778,low,0
INV-2024-00118,Ayesha Plastics,Zenith Pharma Supplies,Pharma,2024-05-07,2024-06-06,2024-07-21,148598,45,1,326225,2155144,1076778,medium,0
INV-2024-00119,Ayesha Plastics,Urban Build Projects Ltd,Construction,2024-10-13,2024-11-12,2025-01-11,68868,60,1,326225,2155144,1076778,high,1
INV-2024-00120,Ayesha Plastics,National Packaging House,Packaging,2024-11-13,2024-12-13,2025-01-21,58087,39,1,326225,2155144,1076778,low,1
INV-2024-00121,Ayesha Plastics,National Packaging House,Packaging,2024-05-01,2024-05-31,2024-06-30,55734,30,1,326225,2155144,1076778,low,0
